SNO,district,population
1,Adilabad,708972
2,Bhadradri Kothagudem ,1069261
3,Hyderabad,3943323
4,Jagtial ,985417
5,Jangaon ,566376
6,Jayashankar Bhoopalpally,410963
7,Jogulamba Gadwal ,609990
8,Kamareddy ,972625
9,Karimnagar ,1005711
10,Khammam,1401639
11,Komaram Bheem Asifabad,515812
12,Mahabubabad ,774549
13,Mahbubnagar,919903
14,Mancherial,807037
15,Medak ,767428
16,Medchal ,2440073
17,Nagarkurnool ,893308
18,Nalgonda,1618416
19,Nirmal,709418
20,Nizamabad,1571022
21,Peddapalli,795332
22,Rajanna Sircilla ,552037
23,Ranga Reddy,2446265
24,Sangareddy ,1527628
25,Siddipet,1012065
26,Suryapet,1099560
27,Vikarabad,927140
28,Wanaparthy ,577758
29,Warangal (Rural),718537
30,Warangal (Urban),1080858
31,Yadadri Bhongir,566874
32,Mulugu,61741
33,Narayanapet,41752
